Date,Close,High,Low,Open,Volume,daily_return_pct,ma_20,ma_50
,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2025-06-03,202.46678161621094,202.96480586317466,200.16591202699755,200.55437033168948,46381600,,,
2025-06-04,202.0185546875,205.42503857555045,201.30139858491114,202.10819540070028,43604000,-0.22138294743113685,,
2025-06-05,199.8372039794922,203.94091870107042,199.35908978394463,202.69585814733983,55126100,-1.0797774052893838,,
2025-06-06,203.11419677734375,204.8871617909174,201.2515910514923,202.19783403313102,46607700,1.6398311888850658,,
2025-06-09,200.65396118164062,205.18598475848052,199.22961916524454,203.58234611432158,72862600,-1.2112573294913775,,
2025-06-10,201.869140625,203.54250994980842,199.77744796710627,199.8073282051838,54672600,0.6056094961710334,,
2025-06-11,197.9945068359375,203.69190510411792,197.62597377823997,202.69585666840098,60989900,-1.9193789486923962,,
2025-06-12,198.41285705566406,198.890956077424,196.58013147350607,198.29333609984755,43904600,0.21129385173963566,,
2025-06-13,195.67372131347656,199.57822954037988,194.92668495173118,198.94075911963023,51447300,-1.3805233102505254,,
2025-06-16,197.6359405517578,197.90487790098294,195.78328974313985,196.52037110088898,43020700,1.0028016154186137,,
2025-06-17,194.86692810058594,197.6060614779548,194.43863454049264,196.4207613301707,38856200,-1.4010672570188287,,
2025-06-18,195.80319213867188,196.78928550519313,194.29916455806153,195.16572178414586,45394700,0.4804632818980137,,
2025-06-20,200.2057647705078,200.90299573747222,196.0821242533237,197.45667615855015,96813500,2.2484682623141072,,
2025-06-23,200.70376586914062,201.50060768152076,198.17380945321412,200.83325703321927,55814300,0.24874463490283105,,
2025-06-24,199.5084991455078,202.63609053842802,199.40888822531906,201.78944331230142,54064000,-0.5955377660487593,,
2025-06-25,200.76351928710938,202.8651820841085,199.82723133036671,200.65395335177794,39525700,0.6290559785556926,,
2025-06-26,200.2057647705078,201.8392838353224,198.6718566431861,200.63405836503767,50799100,-0.2778166663854553,,
2025-06-27,200.2854461669922,202.41698947637084,199.20971189891864,201.09224306842364,73188600,0.039799751308722264,,
2025-06-30,204.3592529296875,206.57048164253425,198.4726031076903,201.211736268348,91912800,2.034000393268065,,
2025-07-01,206.99879455566406,209.35942450018746,205.3254252695324,205.85332972802502,78788900,1.291618357444646,200.16888961791992,
2025-07-02,211.6005401611328,212.49697770796604,207.31752868499885,208.08449026524102,67941800,2.223078455769123,200.625577545166,
2025-07-03,212.70614624023438,213.8017903991559,210.97301649264048,211.31166931275297,34955800,0.5224968132215846,201.15995712280272,
2025-07-07,209.12037658691406,215.37555986284275,207.97492690746134,211.83958469799765,50229000,-1.6857856327623377,201.62411575317384,
2025-07-08,209.1801300048828,210.59451698338924,207.6262968509882,209.26978591644843,42848900,0.028573694703504238,201.9274124145508,
2025-07-09,210.30567932128906,210.49493096772343,206.40117103180637,208.7020406311003,48749400,0.5380765928293396,202.4099983215332,
2025-07-10,211.57064819335938,212.6364120977978,209.2000480941239,209.678147079363,44443600,0.601490590341025,202.89507369995118,
2025-07-11,210.3256072998047,211.29177557167307,209.03074119537857,209.73794232575938,39765800,-0.5884752465364684,203.51162872314453,
2025-07-14,207.7956085205078,210.07656782568804,206.719874444485,209.10042946873696,38840100,-1.2028962197125792,203.98076629638672,
2025-07-15,208.28369140625,211.05270487364396,208.09443976951917,208.39325734338402,42296300,0.23488604461725515,204.61126480102538,
2025-07-16,209.3295440673828,211.5606828488181,207.8155461810567,209.4689902412225,47490500,0.5021289252517214,205.19594497680663,
2025-07-17,209.19009399414062,210.96305897069354,208.761785269157,209.7379236663323,48068100,-0.06661748290881508,205.91210327148437,
2025-07-18,210.3455047607422,210.95309492429405,208.87135730762196,210.0367321724359,48974600,0.5523257552692451,206.63921890258788,
2025-07-21,211.64036560058594,214.92732845073886,210.7937335563828,211.2618775331451,51377400,0.6155875978032466,207.2109489440918,
2025-07-22,213.5527801513672,214.1006098348481,211.39135685335447,212.29776458434165,46404100,0.9036152178977019,207.85339965820313,
2025-07-23,213.30377197265625,214.29982043425818,211.57065737650467,214.15041924441525,46989300,-0.11660263965397322,208.54316329956055,
2025-07-24,212.91531372070312,214.83769515517375,212.68622683006964,213.05475989741393,46022600,-0.18211504107996657,209.15075302124023,
2025-07-25,213.0348358154297,214.38946224202752,212.55672164240056,213.85158759699283,40268800,0.056135978496762995,209.79220657348634,
2025-07-28,213.20419311523438,214.00103498726418,212.21809958876685,213.18426788884761,37858000,0.07949746770590238,210.43814392089843,
2025-07-29,210.43516540527344,213.96117031669576,209.9869466315705,213.33365491441555,51411700,-1.298767941428014,210.74193954467773,
2025-07-30,208.22393798828125,211.5507362671114,206.89919168476044,211.06266703997414,45512500,-1.0507879767783224,210.8031967163086,
2025-07-31,206.74977111816406,209.0107900151974,206.34138763159262,207.6661338109758,80698400,-0.7079718520164313,210.56065826416017,
2025-08-01,201.58029174804688,212.73603143542957,200.7037642416869,210.03673342752194,104434500,-2.5003555467844607,210.00436553955078,
2025-08-04,202.5464630126953,207.0585613783641,200.88304868853191,203.70186769022786,75109300,0.4792984751981866,209.67566986083983,
2025-08-05,202.11814880371094,204.52858421879685,201.36115745633876,202.59624780213056,44155100,-0.21146466969286237,209.32257080078125,
2025-08-06,212.40733337402344,214.52892145014,204.77759854868273,204.81744899810374,108483100,5.090678215297206,209.42765350341796,
2025-08-07,219.16053771972656,219.97730473834642,215.7241736307253,218.01508808955717,90224800,3.1793649675039948,209.80714797973633,
2025-08-08,228.44371032714844,230.08718413442585,218.3836152444713,219.95737356583322,113854000,4.235786562676558,210.71305313110352,
2025-08-11,226.53909301757812,228.91238364576833,224.12592192869855,227.27701087414155,61806100,-0.833735937331237,211.65022735595704,
2025-08-12,229.0021209716797,230.14888579943394,226.429412881848,227.36674823663387,55626200,1.0872419065924621,212.6861488342285,
2025-08-13,232.6717529296875,234.33703985510917,229.77992501054072,230.4181341091737,69878500,1.6024445286520361,213.85325927734374,207.61321899414062
2025-08-14,232.123291015625,234.4566858681212,230.1987431425788,233.39967872378062,51916300,-0.23572346327241922,214.99991912841796,208.20634918212892
2025-08-15,230.9366455078125,233.6190590405621,228.69299310222902,233.33985018068216,56038700,-0.5112134601489071,216.02947616577148,208.78471099853516
2025-08-18,230.23863220214844,232.46233685580373,229.46083388892833,231.04634466466607,37476200,-0.3022531587090427,216.95938949584962,209.39273956298828
2025-08-19,229.90956115722656,232.2130419457167,228.70298322789472,230.62753117126795,39402600,-0.14292607707683258,217.77722854614257,209.92864685058595
2025-08-20,225.3723907470703,229.81981519856654,225.13307755654054,229.33119207499826,42263900,-1.9734587754066668,218.3806594848633,210.42301544189453
2025-08-21,224.26553344726562,225.88097364743615,223.14869792378403,225.6316789169631,30621200,-0.49112373353970007,218.94817047119142,210.87094329833985
2025-08-22,227.11746215820312,228.44371192910324,224.77410085849388,225.53195134940427,42477800,1.2716749948596506,219.65230178833008,211.45340240478515
2025-08-25,226.51914978027344,228.6531118971015,225.59176554347297,225.84106025439092,30983100,-0.26343741790885167,220.31804962158202,212.01552825927735
2025-08-26,228.6630859375,228.84258604761433,224.05612439304167,226.22996704217394,54575100,0.9464701590599311,221.22944564819335,212.67531555175782
2025-08-27,229.8397674560547,230.24859923631865,227.6160475796746,227.96506627689797,31259500,0.5145918125483151,222.31023712158202,213.31939208984375
2025-08-28,231.9039306640625,232.75153884501827,228.69301327644948,230.16884905542523,38074700,0.8980879291928812,223.56794509887695,214.0601321411133
2025-08-29,231.485107421875,232.7216147258446,230.71727541448905,231.85405874294378,39418400,-0.18060204541949787,225.06318588256835,214.77377044677735
2025-09-02,229.0719451904297,230.19876225122124,226.32970313085187,228.6032698757151,44075600,-1.042469754672981,226.38945999145508,215.3510940551758
2025-09-03,237.79725646972656,238.17618932549604,233.69885053091846,236.5408165177042,66427800,3.8089829254487784,228.17341537475585,216.0929638671875
2025-09-04,239.10354614257812,239.2232027368954,236.0721290991865,237.77729643117493,47549400,0.5493291605817463,229.5082260131836,216.8848648071289
2025-09-05,239.0137939453125,240.63920029193574,237.81718240373485,239.32291694518142,54870400,-0.03753695782166,230.5008888244629,217.64987030029297
2025-09-08,237.2089080810547,239.47249309970456,235.67324414176576,238.62490021245955,48999500,-0.7551387869566994,230.93914871215821,218.3899331665039
2025-09-09,233.68887329101562,238.1063683630383,232.70166073618753,236.33139119913957,66313900,-1.4839387013392713,231.29663772583007,219.05800170898436
2025-09-10,226.1501922607422,231.76431424305812,225.31256565050364,231.53496736029473,83440800,-3.2259477843797124,231.1540412902832,219.49382049560546
2025-09-11,229.3810577392578,229.7998710451417,226.010588238333,226.23995033725743,50208600,1.4286370691166894,230.98950653076173,219.94146575927735
2025-09-12,233.40966796875,233.84841389514688,228.3739115767776,228.5733443098202,55824200,1.756295951024689,231.05382537841797,220.3776483154297
2025-09-15,236.0322265625,237.5180285002954,234.3669397384463,236.33138325533858,42699500,1.1235861035975292,231.30860443115233,220.844169921875
2025-09-16,237.4781494140625,240.53949594661788,235.65332541334,236.51088466190768,63421100,0.6125955224930424,231.67058029174805,221.41132537841796
2025-09-17,238.3157958984375,239.42266510979977,237.05934071942244,238.2958480596019,46508000,0.3527257082143187,232.09089202880858,221.99403869628907
2025-09-18,237.2089080810547,240.51953392817583,235.98236714862816,239.2930082114909,44249600,-0.4644626316983702,232.6827178955078,222.53210327148437
